,smiles,value,mu
0,CN(C)Cc1cnon1,-0.2325,3.9347
1,CC1=C(NC=C1)C1CN1,-0.2012,0.836
2,OC1COC11CC1,-0.22699999999999998,2.3565
3,CC(O)C12CC(C)C1O2,-0.248,1.4521
4,N=COCC1COC1,-0.2531,2.9089
5,CC1=CC(O)=CC(=N)O1,-0.20199999999999999,2.9010000000000002
6,O=CCC12OC1C1NC21,-0.2307,2.3701
7,CCCn1c(=O)ocn1,-0.2413,2.7368
8,NC(=O)C1(O)CC=CC1,-0.239,2.9394
9,CN=C1CCC=CCO1,-0.2404,2.1621
10,CNc1cnc(o1)NC,-0.1934,2.6436
11,CC1CCC2=C1C=NO2,-0.2385,3.5587
12,CC(C)OC(C)C(C)O,-0.2438,1.9647
13,CC#CC(=O)C1CO1,-0.2588,3.1803
14,CC1C2CC3CC1OC23,-0.2447,1.3398
15,CCN=C1OC=CC=N1,-0.226,4.1324
16,CC12C3CC1OCCC23,-0.2356,1.262
17,CC1C(C)C(=O)CC1=O,-0.2396,1.7915
18,c1c(ocn1)NCCO,-0.1938,4.3339
19,CCCC1OCC2OC12,-0.2533,2.0172
20,C(CNC(=O)N)CO,-0.2434,2.5595
21,Cc1cc(c([nH]1)C#C)N,-0.1719,1.6842
22,C1OC11C2C3C4C3N2C14,-0.2288,3.3541
23,CC1(COC(=O)C=C1)C,-0.262,4.9455
24,c1c2c(nc([nH]2)N)n[nH]1,-0.2004,4.9265
25,Cc1c(onc1OC)N,-0.2078,2.5
26,CC1=NC2C3N=CN1C23,-0.2263,1.5188
27,O=C1OC2C3CC(=C1)C23,-0.2454,4.7256
28,CCNC(=O)CC(C)C,-0.2405,3.2138
29,CC1(C)CC1(C)CO,-0.2563,1.3621
30,C(COC=O)NC(=O)N,-0.2644,2.6369
31,CC(C)N(CC#C)C=O,-0.2445,3.7928
32,CC1OCCCC11CO1,-0.2437,1.445
33,CCc1cc2n(c1)CC2,-0.1923,1.9505
34,CC1C2CC1(CO)C=C2,-0.2192,1.5448
35,Cc1c(nc(=O)[nH]n1)N,-0.2383,5.9461
36,Cc1c[nH]c(nc1=O)O,-0.2327,5.8227
37,CC12C3C1C1C3CCC21,-0.2297,0.1424
38,NC1=C(F)OC=CC1=N,-0.1984,2.1351
39,OC1COCOC11CC1,-0.2482,1.9442
40,CC(C)(C)C1CC1C#N,-0.2818,4.0845
41,C#CC#CCCN1CC1,-0.2394,1.5463
42,OC12CC(C1)C(=N)OC2,-0.2565,2.9866
43,CN1C=CC(=N)NC1=O,-0.223,2.6236
44,CC1CC2=NNN=C2C1,-0.2452,1.0422
45,CC1OC=NC1C#C,-0.2568,1.848
46,CC1OC(C)(C)C2CC12,-0.2436,1.3271
47,COc1nc(=O)[nH]nn1,-0.2638,1.2351
48,CNc1c(con1)OC,-0.2092,3.7576
49,COC1CC=CC1=NO,-0.22699999999999998,0.7383
50,CCC(O)(CC=O)C#C,-0.2466,3.0953
51,OC12C=CC3CC1C2O3,-0.2184,0.4106
52,C1CC(=O)N(C1)CC#N,-0.2595,4.4017
53,NC(C#N)C#CCC#N,-0.2859,2.9599
54,CC(C)(O)C1CN1,-0.235,2.7471
