smiles,value
CN1CCCC(c2cccc(O)c2)C1,5.71
NC1CCc2cc(O)c(O)cc2C1,7.18243
CCCNC1CCc2nc(N)sc2C1,6.55284
COc1cccc2c1CCN(C)CC2,5.64
CC(N)Cc1c[nH]c2ccccc12,5.0
CCCNC1CCc2n[nH]cc2C1,7.18709
NCCOc1cccc2[nH]c(O)cc12,8.16
CN(C)CCSc1cccc(Br)n1,6.06
CCc1ccccc1N1CCNCC1,6.35
COc1ccccc1N1CCNCC1,6.17
COc1ccccc1N1CCNCC1,5.92
COc1cccc2c1CCC(N)C2,6.48
CCCN1CCN(c2ccccc2)CC1,6.33
Clc1cccc(N2CCNCC2)c1Cl,6.86233
COc1ccc2c(c1)CC(N)CC2,5.23
CCN1CCc2cccc(OC)c2CC1,5.66
CNCCOc1cccc2[nH]c(O)cc12,8.7
CCCN1CCN(c2cccc(O)c2)CC1,7.16115
CCN(CC)C(=S)SSC(=S)N(CC)CC,5.12
CCCNC1CCc2cc(F)ccc2C1,6.79
CCCc1ccccc1N1CCNCC1,6.42
NC1CCc2c(ccc(O)c2O)C1,6.15
CCCN1CCC(c2ccccc2)CC1,6.8
CCOc1ccccc1N1CCNCC1,6.84
FC(F)(F)C1C=CC=C(C2CCNC2)C1,7.0
c1cc(N2CCNCC2)c2occc2c1,6.11
OC1(c2ccc(Cl)cc2)CCNCC1,5.04144
Oc1cccc([C@H]2CCCNC2)c1,6.44
Oc1cccc([C@@H]2CCCNC2)c1,6.62
C#CC1=CCC(N(CCC)CCC)CC1,7.47
NC1Cc2cccn3ncc(c23)C1,5.55
CCNC1CCc2c(cccc2OC)C1,6.74
CSCCCNC1CCc2n[nH]cc2C1,5.6925
CCCNC1CCc2[nH]ncc2C1,7.19
NCCc1c[nH]c2ccc(O)cc12,12.52
CCN(C)C1CCc2ccc(O)cc2C1,8.60206
CCCNC1CCc2ccc(O)cc2C1,8.42022
CN1CCc2cc(O)c(Cl)cc2CC1,6.58
CN1CCC=C(c2csc(N)n2)C1,5.98297
c1cc2c(c(N3CCNCC3)c1)OCCO2,5.96
Oc1cccc(C2CNCCO2)c1,5.14267
[C]#CC1=CCC(N(CCC)CCC)CC1,7.8
CCCN1CCc2ccc(O)cc2CC1,5.0
Oc1cccc2c1CCC1NCCCC21,5.12
CNC1CCc2c(cccc2OC)C1,6.88
Fc1cccc(CCCN2CCCC2)c1,5.0
CCCNC1CCc2c(O)cccc2C1,9.30103
CCCN1CCC(c2ccccc2)C1,6.20412
CN(C)C1CCc2ccc(O)cc2C1,8.27
CN1CCc2cc3nc(N)sc3cc2CC1,5.85387
CCN1CCC=C(c2csc(N)n2)C1,6.39
CCCN1CCCC2c3cccc(O)c3CCC21,7.2
CCn1ncc2c1-c1c(Cl)sc(Cl)c1CCC2,6.31
CC1CCN(Cc2c[nH]c3ccccc23)CC1,5.26
CN1CCCC2c3cccc(O)c3CCC21,6.94
CN1CCC[C@@H](c2cccc(O)c2)C1,6.54
CN1CCC[C@H](c2cccc(O)c2)C1,6.21
CCCN(CCC)C1CCc2ccc(O)cc2C1,7.40012
C1=C(c2c[nH]c3ccccc23)CCNC1,6.7
CCCCC1NCCc2cc(Cl)c(O)cc21,7.12
COc1ccc2c(c1)OC(CNCCCO)CC2,5.89
CCCN1CCc2cccc(OC)c2CC1,5.4437
CCN1CCCC2c3cccc(O)c3CCC21,6.99
CCCCN1CCC=C(c2csc(N)n2)C1,5.67366
CCCN[C@H]1CCc2nc(N)sc2C1,8.30103
CCCN1CCC2Cc3c(O)cccc3CC21,7.96
