smiles,value
Brc1ccc2[nH]nc(-c3ccccc3)c2c1,5.7
Brc1ccc2c(c1)-c1[nH]ncc1C2,5.0
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,5.22185
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0
Brc1cccc(Nc2[nH]cnc3c2ccc2ncnc23)c1,6.57
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,7.14
Brc1cccc(Nc2[nH]cnc3cc4nncc4cc23)c1,9.36
Brc1cccc(Nc2[nH]cnc3cc4nnnc4cc23)c1,8.39
Brc1cccc(Nc2[nH]cnc3ccc4ccnc4c23)c1,8.90658
Brc1cccc(Nc2[nH]cnc3nc4c(c2-3)CCCC4)c1,7.34
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,7.51
Brc1cccc(Nc2ccnc3ccccc23)c1,5.26
Brc1cccc(Nc2nc[nH]c3cc4nccc4cc23)c1,9.41
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,6.0
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.47
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.13
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,8.74
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.14
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1,7.4
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.27003
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.72
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.29243
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.49
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04
Brc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,9.04096
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.32
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.07
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,8.3
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,8.3
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.82391
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.11003
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.43
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,8.06
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,8.43
