smiles,value
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.82
COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,5.6
NC(=O)c1cccc2nc(-c3ccncc3)[nH]c12,5.7
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.77
Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1CO,5.96
COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC,5.7
CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(OC)c2)c1,6.57
Cc1ccc(C2=NN(c3nc(O)cs3)C(c3cccc4ccccc34)C2)cc1C,5.88
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCN1CCOCC1,5.38
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,6.4
COc1ccc(/C=N/Nc2nc(O)cs2)cc1,5.24
COc1ccc(C(/C=C/c2ccccc2Cl)=N\NC(N)=S)cc1,5.11
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,5.7
CN(C)CCCN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.33348
COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,5.02
COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,7.19
COCCN1CCC(Oc2cc3c(Nc4cc(Cl)ccc4F)ncnc3cc2OC)CC1,6.9431
CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccccc3)c3c(N)ncnc32)C1,5.08
COc1cc(Nc2ncnc3[nH]ccc23)ccc1-c1nc2ccccc2s1,6.14
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,8.64
NC(=O)c1cc(-c2cccc(N)c2)cc2cccnc12,6.5
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5.25181
CO[C@H]1[C@@H](N(C)Cc2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.04
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.37986
ON=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,6.4
COc1cc(/C=C(\C#N)C(N)=O)cc(Sc2nc3ccccc3s2)c1O,6.46
CCOc1cc2ncnc(C#Cc3nccn3-c3ccccc3)c2cc1OCC,7.92082
c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,7.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,7.8
Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,5.0
COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,5.7
COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(OC)c1,5.77
Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4snc(N)c34)cc2)c1,5.7
c1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,5.7
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,5.48149
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,6.49
C[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)CC=CN(C)C)C3)c1ccccc1,7.92
CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,5.08
O=C(NCc1ccccc1)c1cc2cc(O)c(O)cc2cn1,5.51
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,5.66
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)Nc1ccccc1,7.12
COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,5.43
