Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
AGMWTWZTMQSDHF-UHFFFAOYNA-N,CHEMBL211135,1813,A,5.09,chembl20,367037,9606,DRD2,1171,C=1C(=NN2C=C(N=C2C1)CN3CCN(CC3)C4=CC=C(C=C4)Cl)Cl
AGUZAIMBKPZTGP-LNNLXFCONA-N,CHEMBL196744,1813,A,7.77,chembl20,320855,9606,DRD2,1171,C1(=C(N2CCN(CC2)CCCCNC(C=3C=CC(=CC3)F)=O)C=CC=C1Cl)Cl
AGVNHDNTFYHZNL-QGZVFWFLNA-N,5312148,1813,A,5.40001,pubchem,65736,9606,DRD2,1171,S(=O)(=O)(N([C@@H](CCN1CCC(CC1)C)C)C)C=2C=C(C=CC2)C
AGWOUMXKBMIRJT-UHFFFAOYNA-N,CHEMBL12726,24318,A,6.39,chembl20,62873,10116,DRD2,1171,C12=C(C3=CC=CC=C3N1)CCN(C2)CCCN4CCN(CC4)C=5C=C(C(F)(F)F)C=CC5
AGZPUSHGNOUMEV-UHFFFAOYNA-N,CHEMBL41536,24318,A,7.68,chembl20,61415,10116,DRD2,1171,N1(C(C2=CC=CC=C2C1=O)=O)CCCCCN3CCN(C4=NSC=5C4=CC=CC5)CC3
AGZPZBJIQLGGOQ-UHFFFAOYNA-N,44439942,1813,A,7.92445,pubchem,305859,9606,DRD2,1171,O(C=1C=C2C3=C(NC2=CC1)CC=4C(CCN(CC3)C)=CC=CC4)C
AHBOSRZKKHTKEU-LJQANCHMNA-N,CHEMBL403844,24318,A,7.08,chembl20,461138,10116,DRD2,1171,C1=2C=3C4=CC=CC3C[C@]5(N(CCC(=CC=C1C4)C25)C)C
AHBRJXRNQAPBKX-UHFFFAOYNA-N,CHEMBL70267,1813,A,6.62,chembl20,58462,9606,DRD2,1171,C1(=NC=2C=CC=CC2O1)C3C=CN(CC3)CC=4C=CC=CC4
ADEBGCBREGNKQR-XRJCTRHONA-N,CHEMBL81703,24318,A,8.42,chembl20,62254,10116,DRD2,1171,C1(=CSC2=C1C=CC(F)=C2)C3=CCN(CC3)CCC4C5=C(C=C(C(=O)N)C=C5)CCO4
ADETWEPXXIGKFW-NSJMMFDCNA-N,CHEMBL458002,1813,A,5.31,chembl20,516619,9606,DRD2,1171,C=1C(=C(C(N(CC=2C=CC(=C(C2)NC(C=3C=CC(=CC3)C4=CC=CC=C4)=O)C)N1)=O)Cl)N5CCNCC5
