smiles,value,features,label
Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)c(C)c2)c1,5.7,[0 0 0 ... 0 0 0],False
Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,7.09151,[0 0 0 ... 0 1 0],False
COc1cc2ncnc(Nc3cccc(C#CCCCO)c3)c2cc1OC,5.87,[0 0 0 ... 0 0 0],False
CCOc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1OCC,7.74473,[0 0 0 ... 0 0 0],True
COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)cc1,4.82,[0 0 0 ... 0 0 0],False
COc1cc(C2=C(c3c[nH]c4ccc(I)cc34)C(=O)NC2=O)cc(OC)c1OC,5.77,[0 0 0 ... 0 0 0],False
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,5.7,[0 0 0 ... 0 0 0],False
O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(CCO)CC1,6.52,[0 0 0 ... 0 0 0],False
COc1cc2ncc(C#N)c(Nc3cccc(C(N)=O)c3)c2cc1OC,5.11,[0 0 0 ... 0 0 0],False
c1ccc(CNc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,5.7,[0 0 0 ... 0 0 0],False
CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,6.24,[0 1 0 ... 0 0 0],False
CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,6.02045,[0 1 0 ... 0 0 0],False
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.21,[0 0 0 ... 0 0 0],False
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.66,[0 0 0 ... 0 0 0],True
CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cs1,8.10018,[0 0 0 ... 0 0 0],True
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,7.30103,[0 1 0 ... 0 0 0],False
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3C)c2cc1OC,6.62,[0 0 0 ... 0 0 0],False
Nc1cc2ncnc(NCc3ccc(C(F)(F)F)cc3)c2cn1,5.1,[0 0 0 ... 0 0 0],False
CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(Cl)cc1,4.7,[0 0 0 ... 0 0 0],False
CCCC(=O)Nc1[nH]nc2ccc(-c3cn(Cc4ccccc4)nn3)cc12,5.7,[0 0 0 ... 0 0 0],False
c1cc2cc(-c3ccc4cn[nH]c4c3)cnc2[nH]1,5.7,[0 0 0 ... 0 0 0],False
Cc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)ccc1F,6.41,[0 0 0 ... 0 0 0],False
N#CC(C#N)C1C=Cc2c1ccc(O)c2O,5.1549,[0 1 0 ... 0 0 0],False
CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,6.0,[0 0 0 ... 0 0 0],False
Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,6.06,[0 0 0 ... 0 0 0],False
Oc1cc(-c2ccncc2)nc(NC2CCCCC2)n1,5.7,[0 0 1 ... 0 0 0],False
COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,5.59,[0 0 0 ... 0 0 0],False
C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,8.48,[0 0 0 ... 0 0 0],True
CCc1c(CC(=O)O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,5.8,[0 0 0 ... 0 1 0],False
Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C,5.7,[0 0 0 ... 0 0 0],False
Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,5.18,[0 0 0 ... 0 0 0],False
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,5.7,[0 1 0 ... 0 0 0],False
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.16,[0 0 0 ... 0 0 0],True
Nc1ccc(-c2cc(=O)c3cc(N)ccc3o2)cc1,5.06,[0 0 0 ... 0 0 0],False
N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1,5.0,[0 1 0 ... 0 0 0],False
COc1cc2nccc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C,5.28233,[0 1 0 ... 0 0 0],False
CCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,5.67,[0 0 0 ... 0 0 0],False
O=C(/C=C/c1ccccc1)Nc1cccc(Cl)c1,4.84,[0 0 0 ... 0 0 0],False
C=CC(=O)Nc1ncc2nc[nH]c(NC3=CC(=C)C=CC3)c1-2,9.32,[0 0 0 ... 0 0 0],True
COc1cc(Nc2c(C#N)cnc3cc(C#CCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,6.14,[0 0 0 ... 0 0 0],False
COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](N5CCN(C(C)=O)CC5)CC4)c4ncnc(N)c34)cc2[nH]1,6.13,[0 0 0 ... 0 0 0],False
Cc1cccc(C)c1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,5.29243,[0 0 0 ... 0 0 0],False
Nc1c(Cl)cccc1Nc1ncnc2ccncc12,6.92,[0 0 0 ... 0 0 0],False
COc1cccc(-c2cn(C3CCN(C(=O)OC(C)(C)C)C3)c3ncnc(N)c23)c1,5.68,[0 0 0 ... 0 0 0],False
OC[C@@H](Nc1ncnc2sc3c(c12)CCC3)c1ccccc1,5.96,[0 1 0 ... 0 0 0],False
COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(C)(=O)=O)cc4)ncnc32)c1,6.63,[0 0 0 ... 0 0 0],False
C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.4318,[0 0 0 ... 0 0 0],True
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,8.4,[0 0 0 ... 0 0 0],True
COc1cc(OC2CCN(S(C)(=O)=O)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,5.02,[0 0 0 ... 0 0 0],False
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.0,[0 0 0 ... 0 0 0],True
O=C1NC(=O)/C(=C\c2ccc3nccnc3c2)S1,4.6,[0 0 0 ... 0 0 0],False
C=CC(=O)Nc1cc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCCCO,8.77,[0 0 0 ... 0 0 0],True
Cn1cc(C(CN)c2cncc(C=Cc3ccncc3)c2)c2ccccc21,5.7,[0 1 0 ... 0 0 0],False
CC[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)CC=CN(C)C)C3)c1ccccc1,7.92,[0 1 0 ... 0 0 0],True
O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.05,[0 0 1 ... 0 0 0],True
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CC(C)(C)N)cnc(N)c34)cc2)c1,5.7,[1 0 0 ... 0 0 0],False
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,5.57,[0 1 0 ... 0 0 0],False
COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1,6.62,[0 0 0 ... 0 0 0],False
COc1cccc(CNc2ncnc3cc(N)ncc23)c1,5.54,[0 0 0 ... 0 0 0],False
O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1COc2ccccc2O1,5.43415,[0 0 0 ... 0 0 0],False
Brc1ccc2c(c1)-c1[nH]ncc1C2,5.0,[0 0 0 ... 0 0 0],False
