,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
0,1.0,1.0,1.0,1,0.5,0,1
1,0.0,0.0,1.0,0,0.5,0,1
2,0.0,0.0,1.0,0,0.5,0,1
3,1.0,1.0,1.0,1,0.5,0,1
4,0.0,0.0,1.0,0,0.5,0,1
5,0.0,0.0,1.0,0,0.5,0,1
6,0.0,0.0,1.0,0,0.5,0,1
7,0.0,0.0,1.0,0,0.5,0,1
8,0.0,0.0,1.0,0,0.5,0,1
9,0.0,0.0,1.0,0,0.5,0,1
10,0.2,0.2,1.0,1,0.5,0,10
11,0.0,0.0,1.0,0,0.5,0,10
12,0.1,0.1,1.0,1,0.5,0,10
13,0.2,0.2,1.0,1,0.5,0,10
14,0.3,0.3,1.0,1,0.5,0,10
15,0.1,0.1,1.0,1,0.5,0,10
16,0.1,0.1,1.0,1,0.5,0,10
17,0.0,0.0,1.0,0,0.5,0,10
18,0.4,0.4,1.0,1,0.5,0,10
19,0.3,0.3,1.0,1,0.5,0,10
20,0.1,0.1,1.0,1,0.5,0,20
21,0.2,0.2,1.0,1,0.5,0,20
22,0.15,0.15,1.0,1,0.5,0,20
23,0.15,0.15,1.0,1,0.5,0,20
24,0.2,0.2,1.0,1,0.5,0,20
25,0.15,0.15,1.0,1,0.5,0,20
26,0.05,0.05,0.95,1,0.5,0,20
27,0.05,0.05,1.0,1,0.5,0,20
28,0.05,0.05,1.0,1,0.5,0,20
29,0.1,0.1,1.0,1,0.5,0,20
30,0.18,0.18,1.0,1,0.5,0,50
31,0.14,0.14,1.0,1,0.5,0,50
32,0.1,0.1,1.0,1,0.5,0,50
33,0.2,0.2,1.0,1,0.5,0,50
34,0.1,0.1,1.0,1,0.5,0,50
35,0.08,0.08,1.0,1,0.5,0,50
36,0.08,0.08,0.96,1,0.5,0,50
37,0.18,0.18,1.0,1,0.5,0,50
38,0.14,0.14,1.0,1,0.5,0,50
39,0.14,0.14,1.0,1,0.5,0,50
40,0.12,0.12,1.0,1,0.5,0,100
41,0.13,0.13,1.0,1,0.5,0,100
42,0.08,0.08,1.0,1,0.5,0,100
43,0.09,0.09,1.0,1,0.5,0,100
44,0.21,0.21,1.0,1,0.5,0,100
45,0.07,0.07,1.0,1,0.5,0,100
46,0.11,0.12,0.99,1,0.5,0,100
47,0.09,0.09,1.0,1,0.5,0,100
48,0.09,0.09,1.0,1,0.5,0,100
49,0.1,0.1,1.0,1,0.5,0,100
50,0.0,0.0,1.0,0,0.5,1,1
51,0.0,0.0,1.0,0,0.5,1,1
52,0.0,0.0,1.0,0,0.5,1,1
53,0.0,0.0,1.0,0,0.5,1,1
54,0.0,0.0,1.0,0,0.5,1,1
55,1.0,1.0,1.0,1,0.5,1,1
56,0.0,0.0,1.0,0,0.5,1,1
57,0.0,0.0,1.0,0,0.5,1,1
58,0.0,0.0,1.0,0,0.5,1,1
59,0.0,0.0,1.0,0,0.5,1,1
60,0.1,0.1,1.0,1,0.5,1,10
61,0.0,0.0,1.0,0,0.5,1,10
62,0.2,0.2,1.0,1,0.5,1,10
63,0.2,0.2,1.0,1,0.5,1,10
64,0.0,0.0,0.9,0,0.5,1,10
65,0.1,0.1,1.0,1,0.5,1,10
66,0.2,0.2,1.0,1,0.5,1,10
67,0.1,0.1,1.0,1,0.5,1,10
68,0.0,0.0,1.0,0,0.5,1,10
69,0.0,0.0,1.0,0,0.5,1,10
70,0.15,0.15,1.0,1,0.5,1,20
71,0.15,0.15,1.0,1,0.5,1,20
72,0.0,0.0,1.0,0,0.5,1,20
73,0.1,0.1,1.0,1,0.5,1,20
74,0.05,0.05,0.95,1,0.5,1,20
75,0.1,0.1,1.0,1,0.5,1,20
76,0.05,0.05,0.95,1,0.5,1,20
77,0.15,0.15,1.0,1,0.5,1,20
