,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
0,0.0,0.0,1.0,0,0.5,0,1
1,1.0,1.0,1.0,1,0.5,0,1
2,0.0,0.0,1.0,0,0.5,0,1
3,0.0,0.0,1.0,0,0.5,0,1
4,0.0,0.0,1.0,0,0.5,0,1
5,0.0,0.0,1.0,0,0.5,0,1
6,1.0,1.0,1.0,1,0.5,0,1
7,0.0,0.0,1.0,0,0.5,0,1
8,0.0,0.0,1.0,0,0.5,0,1
9,0.0,0.0,1.0,0,0.5,0,1
10,0.0,0.0,1.0,0,0.5,0,10
11,0.0,0.0,1.0,0,0.5,0,10
12,0.1,0.1,1.0,1,0.5,0,10
13,0.0,0.0,1.0,0,0.5,0,10
14,0.1,0.1,1.0,1,0.5,0,10
15,0.1,0.1,1.0,1,0.5,0,10
16,0.1,0.1,1.0,1,0.5,0,10
17,0.0,0.0,1.0,0,0.5,0,10
18,0.1,0.1,1.0,1,0.5,0,10
19,0.1,0.1,1.0,1,0.5,0,10
20,0.07,0.07,1.0,1,0.5,0,100
21,0.07,0.07,1.0,1,0.5,0,100
22,0.04,0.04,1.0,1,0.5,0,100
23,0.08,0.08,1.0,1,0.5,0,100
24,0.01,0.01,1.0,1,0.5,0,100
25,0.08,0.08,1.0,1,0.5,0,100
26,0.05,0.05,1.0,1,0.5,0,100
27,0.06,0.06,1.0,1,0.5,0,100
28,0.04,0.04,1.0,1,0.5,0,100
29,0.04,0.04,1.0,1,0.5,0,100
30,0.0,0.0,1.0,0,0.5,1,1
31,0.0,0.0,1.0,0,0.5,1,1
32,0.0,0.0,1.0,0,0.5,1,1
33,0.0,0.0,1.0,0,0.5,1,1
34,0.0,0.0,1.0,0,0.5,1,1
35,0.0,0.0,1.0,0,0.5,1,1
36,0.0,0.0,1.0,0,0.5,1,1
37,0.0,0.0,1.0,0,0.5,1,1
38,0.0,0.0,1.0,0,0.5,1,1
39,0.0,0.0,1.0,0,0.5,1,1
40,0.1,0.1,1.0,1,0.5,1,10
41,0.0,0.0,1.0,0,0.5,1,10
42,0.0,0.0,1.0,0,0.5,1,10
43,0.0,0.0,1.0,0,0.5,1,10
44,0.0,0.0,1.0,0,0.5,1,10
45,0.0,0.0,1.0,0,0.5,1,10
46,0.1,0.1,1.0,1,0.5,1,10
47,0.0,0.0,1.0,0,0.5,1,10
48,0.0,0.0,1.0,0,0.5,1,10
49,0.1,0.1,1.0,1,0.5,1,10
50,0.04,0.04,0.98,1,0.5,1,100
51,0.02,0.02,1.0,1,0.5,1,100
52,0.01,0.01,0.99,1,0.5,1,100
53,0.03,0.03,0.99,1,0.5,1,100
54,0.03,0.03,1.0,1,0.5,1,100
55,0.03,0.03,0.99,1,0.5,1,100
56,0.02,0.02,1.0,1,0.5,1,100
57,0.03,0.03,0.99,1,0.5,1,100
58,0.03,0.03,1.0,1,0.5,1,100
59,0.01,0.01,1.0,1,0.5,1,100
60,0.0,0.0,1.0,0,0.5,10,1
61,0.0,0.0,1.0,0,0.5,10,1
62,0.0,0.0,1.0,0,0.5,10,1
63,0.0,0.0,1.0,0,0.5,10,1
64,0.0,0.0,1.0,0,0.5,10,1
65,0.0,0.0,1.0,0,0.5,10,1
66,0.0,0.0,1.0,0,0.5,10,1
67,0.0,0.0,1.0,0,0.5,10,1
68,0.0,0.0,1.0,0,0.5,10,1
69,0.0,0.0,1.0,0,0.5,10,1
70,0.1,0.1,1.0,1,0.5,10,10
71,0.2,0.2,1.0,1,0.5,10,10
72,0.1,0.1,1.0,1,0.5,10,10
73,0.0,0.0,1.0,0,0.5,10,10
74,0.0,0.0,1.0,0,0.5,10,10
75,0.0,0.0,1.0,0,0.5,10,10
76,0.0,0.0,1.0,0,0.5,10,10
77,0.0,0.0,0.9,0,0.5,10,10
78,0.0,0.0,0.9,0,0.5,10,10
79,0.0,0.0,1.0,0,0.5,10,10
80,0.04,0.04,0.97,1,0.5,10,100
81,0.04,0.04,0.99,1,0.5,10,100
82,0.02,0.02,0.97,1,0.5,10,100
83,0.03,0.03,1.0,1,0.5,10,100
84,0.02,0.02,0.98,1,0.5,10,100
85,0.03,0.03,0.99,1,0.5,10,100
86,0.05,0.05,0.97,1,0.5,10,100
87,0.03,0.03,0.98,1,0.5,10,100
88,0.03,0.03,0.98,1,0.5,10,100
89,0.01,0.01,1.0,1,0.5,10,100
90,0.0,0.0,1.0,0,0.5,100,1
91,0.0,0.0,1.0,0,0.5,100,1
92,0.0,0.0,1.0,0,0.5,100,1
93,0.0,0.0,0.0,0,0.5,100,1
94,0.0,0.0,1.0,0,0.5,100,1
95,0.0,0.0,1.0,0,0.5,100,1
96,0.0,0.0,1.0,0,0.5,100,1
97,0.0,0.0,1.0,0,0.5,100,1
98,0.0,0.0,1.0,0,0.5,100,1
99,0.0,0.0,1.0,0,0.5,100,1
100,0.0,0.0,0.8,0,0.5,100,10
101,0.0,0.0,1.0,0,0.5,100,10
102,0.0,0.0,1.0,0,0.5,100,10
103,0.0,0.0,0.9,0,0.5,100,10
104,0.0,0.0,0.9,0,0.5,100,10
105,0.0,0.0,1.0,0,0.5,100,10
106,0.1,0.1,0.8,1,0.5,100,10
107,0.0,0.0,1.0,0,0.5,100,10
108,0.1,0.1,1.0,1,0.5,100,10
109,0.0,0.0,0.9,0,0.5,100,10
110,0.04,0.05,0.91,1,0.5,100,100
111,0.04,0.04,0.93,1,0.5,100,100
112,0.03,0.03,0.96,1,0.5,100,100
113,0.02,0.02,0.92,1,0.5,100,100
114,0.02,0.02,0.93,1,0.5,100,100
115,0.01,0.01,0.95,1,0.5,100,100
116,0.04,0.05,0.92,1,0.5,100,100
117,0.02,0.02,0.94,1,0.5,100,100
118,0.04,0.04,0.91,1,0.5,100,100
119,0.0,0.0,0.95,0,0.5,100,100
120,1.0,1.0,1.0,1,0.5,1000,1
121,0.0,0.0,1.0,0,0.5,1000,1
122,0.0,0.0,1.0,0,0.5,1000,1
123,0.0,0.0,1.0,0,0.5,1000,1
124,0.0,0.0,1.0,0,0.5,1000,1
125,0.0,0.0,1.0,0,0.5,1000,1
126,0.0,0.0,1.0,0,0.5,1000,1
127,1.0,1.0,1.0,1,0.5,1000,1
128,0.0,0.0,1.0,0,0.5,1000,1
129,0.0,0.0,1.0,0,0.5,1000,1
130,0.1,0.1,1.0,1,0.5,1000,10
131,0.0,0.0,1.0,0,0.5,1000,10
132,0.0,0.0,1.0,0,0.5,1000,10
133,0.1,0.1,1.0,1,0.5,1000,10
134,0.0,0.0,0.9,0,0.5,1000,10
135,0.1,0.1,0.9,1,0.5,1000,10
136,0.1,0.1,0.9,1,0.5,1000,10
137,0.1,0.1,1.0,1,0.5,1000,10
138,0.0,0.0,0.8,0,0.5,1000,10
139,0.2,0.2,1.0,1,0.5,1000,10
140,0.03,0.03,0.92,1,0.5,1000,100
141,0.03,0.03,0.95,1,0.5,1000,100
142,0.05,0.05,0.95,1,0.5,1000,100
143,0.02,0.02,0.97,1,0.5,1000,100
144,0.03,0.04,0.89,1,0.5,1000,100
145,0.06,0.07,0.93,1,0.5,1000,100
146,0.03,0.03,0.92,1,0.5,1000,100
147,0.04,0.04,0.96,1,0.5,1000,100
148,0.04,0.04,0.92,1,0.5,1000,100
149,0.02,0.02,0.91,1,0.5,1000,100
150,0.0,0.0,1.0,0,0.5,0,1
151,0.0,0.0,1.0,0,0.5,0,1
152,0.0,0.0,1.0,0,0.5,0,1
153,0.0,0.0,1.0,0,0.5,0,1
154,0.0,0.0,1.0,0,0.5,0,1
155,0.0,0.0,1.0,0,0.5,0,1
